CityId,CityName,CountryId,Country,RegionId,Region,ContentId,ContenentId,Contenent,FullId
0,-,0,-,0,-,0,0,-,0.0
1,Douala,1,Cameroon,1,Central Africa,1,1,Africa,1111.0
2,South Region,1,Cameroon,1,Central Africa,1,1,Africa,1112.0
3,N'Djamena,2,Chad,1,Central Africa,1,1,Africa,1123.0
4,Kigali,3,Rwanda,1,Central Africa,1,1,Africa,1134.0
5,Kigali Province,3,Rwanda,1,Central Africa,1,1,Africa,1135.0
6,Addis Ababa,4,Ethiopia,2,East Africa,1,1,Africa,1246.0
7,Karen,5,Kenya,2,East Africa,1,1,Africa,1257.0
8,Kenya,5,Kenya,2,East Africa,1,1,Africa,1258.0
9,Malindi,5,Kenya,2,East Africa,1,1,Africa,1259.0
10,Mombasa,5,Kenya,2,East Africa,1,1,Africa,12510.0
11,Nairobi,5,Kenya,2,East Africa,1,1,Africa,12511.0
12,Shimoni,5,Kenya,2,East Africa,1,1,Africa,12512.0
13,Bel Ombre,6,Mauritius,2,East Africa,1,1,Africa,12613.0
14,Curepipe,6,Mauritius,2,East Africa,1,1,Africa,12614.0
15,Flic En Flac,6,Mauritius,2,East Africa,1,1,Africa,12615.0
16,Grand Baie,6,Mauritius,2,East Africa,1,1,Africa,12616.0
17,Grand Gaube,6,Mauritius,2,East Africa,1,1,Africa,12617.0
18,Mauritius,6,Mauritius,2,East Africa,1,1,Africa,12618.0
19,Moka,6,Mauritius,2,East Africa,1,1,Africa,12619.0
20,Pailles,6,Mauritius,2,East Africa,1,1,Africa,12620.0
21,Port Louis,6,Mauritius,2,East Africa,1,1,Africa,12621.0
22,Quatre Bornes,6,Mauritius,2,East Africa,1,1,Africa,12622.0
23,Rose Belle,6,Mauritius,2,East Africa,1,1,Africa,12623.0
24,Cerf Island,7,Seychelles,2,East Africa,1,1,Africa,12724.0
25,Mahe Island,7,Seychelles,2,East Africa,1,1,Africa,12725.0
26,Victoria,7,Seychelles,2,East Africa,1,1,Africa,12726.0
27,Khartoum,8,Sudan,2,East Africa,1,1,Africa,12827.0
28,Port Sudan,8,Sudan,2,East Africa,1,1,Africa,12828.0
29,Rumbek,8,Sudan,2,East Africa,1,1,Africa,12829.0
30,Sudan,8,Sudan,2,East Africa,1,1,Africa,12830.0
31,Arusha,9,Tanzania,2,East Africa,1,1,Africa,12931.0
32,Dar es Salaam,9,Tanzania,2,East Africa,1,1,Africa,12932.0
33,Msasani,9,Tanzania,2,East Africa,1,1,Africa,12933.0
34,Stone Town,9,Tanzania,2,East Africa,1,1,Africa,12934.0
35,Tanzania,9,Tanzania,2,East Africa,1,1,Africa,12935.0
36,Zanzibar Island,9,Tanzania,2,East Africa,1,1,Africa,12936.0
37,Kampala,10,Uganda,2,East Africa,1,1,Africa,121037.0
38,Livingstone,11,Zambia,2,East Africa,1,1,Africa,121138.0
39,Lusaka,11,Zambia,2,East Africa,1,1,Africa,121139.0
40,Solwezi,11,Zambia,2,East Africa,1,1,Africa,121140.0
41,South Luangwa National Park,11,Zambia,2,East Africa,1,1,Africa,121141.0
42,Victoria Falls,11,Zambia,2,East Africa,1,1,Africa,121142.0
43,Harare,12,Zimbabwe,2,East Africa,1,1,Africa,121243.0
44,Alger,13,Algeria,3,North Africa,1,1,Africa,131344.0
45,Algiers,13,Algeria,3,North Africa,1,1,Africa,131345.0
46,Blida Province,13,Algeria,3,North Africa,1,1,Africa,131346.0
47,Oran,13,Algeria,3,North Africa,1,1,Africa,131347.0
48,Ad Duqqi,14,Egypt,3,North Africa,1,1,Africa,131448.0
49,Al Rehab,14,Egypt,3,North Africa,1,1,Africa,131449.0
50,Alexandria,14,Egypt,3,North Africa,1,1,Africa,131450.0
51,Alexandria Governorate,14,Egypt,3,North Africa,1,1,Africa,131451.0
52,Cairo,14,Egypt,3,North Africa,1,1,Africa,131452.0
53,Cairo Governorate,14,Egypt,3,North Africa,1,1,Africa,131453.0
54,Dahab,14,Egypt,3,North Africa,1,1,Africa,131454.0
55,Egypt,14,Egypt,3,North Africa,1,1,Africa,131455.0
56,El Alamein,14,Egypt,3,North Africa,1,1,Africa,131456.0
57,Giza,14,Egypt,3,North Africa,1,1,Africa,131457.0
58,Hurghada,14,Egypt,3,North Africa,1,1,Africa,131458.0
59,Luxor,14,Egypt,3,North Africa,1,1,Africa,131459.0
60,Mansoura,14,Egypt,3,North Africa,1,1,Africa,131460.0
61,New Cairo City,14,Egypt,3,North Africa,1,1,Africa,131461.0
62,Sharm El Sheikh,14,Egypt,3,North Africa,1,1,Africa,131462.0
63,Siwa,14,Egypt,3,North Africa,1,1,Africa,131463.0
64,South Sinai,14,Egypt,3,North Africa,1,1,Africa,131464.0
65,Tanta,14,Egypt,3,North Africa,1,1,Africa,131465.0
66,Casablanca,15,Morocco,3,North Africa,1,1,Africa,131566.0
67,Chefchaouen,15,Morocco,3,North Africa,1,1,Africa,131567.0
68,El Jadida,15,Morocco,3,North Africa,1,1,Africa,131568.0
69,Fes,15,Morocco,3,North Africa,1,1,Africa,131569.0
70,Marrakech,15,Morocco,3,North Africa,1,1,Africa,131570.0
71,Merzouga,15,Morocco,3,North Africa,1,1,Africa,131571.0
72,Ouarzazate,15,Morocco,3,North Africa,1,1,Africa,131572.0
73,Oujda,15,Morocco,3,North Africa,1,1,Africa,131573.0
74,Rabat,15,Morocco,3,North Africa,1,1,Africa,131574.0
75,Bizerte,16,Tunisia,3,North Africa,1,1,Africa,131675.0
76,Carthage,16,Tunisia,3,North Africa,1,1,Africa,131676.0
77,Ezzahra,16,Tunisia,3,North Africa,1,1,Africa,131677.0
78,Sidi Bou Said,16,Tunisia,3,North Africa,1,1,Africa,131678.0
79,Sousse,16,Tunisia,3,North Africa,1,1,Africa,131679.0
80,Tunis,16,Tunisia,3,North Africa,1,1,Africa,131680.0
81,tunisie,16,Tunisia,3,North Africa,1,1,Africa,131681.0
82,Luanda,17,Angola,4,Southern Africa,1,1,Africa,141782.0
83,Botswana,18,Botswana,4,Southern Africa,1,1,Africa,141883.0
84,Gaborone,18,Botswana,4,Southern Africa,1,1,Africa,141884.0
85,Chintheche,19,Malawi,4,Southern Africa,1,1,Africa,141985.0
86,Maputo,20,Mozambique,4,Southern Africa,1,1,Africa,142086.0
87,Mozambique,20,Mozambique,4,Southern Africa,1,1,Africa,142087.0
88,Ponta do Ouro,20,Mozambique,4,Southern Africa,1,1,Africa,142088.0
89,Tofinho,20,Mozambique,4,Southern Africa,1,1,Africa,142089.0
90,Swakopmund,21,Namibia,4,Southern Africa,1,1,Africa,142190.0
91,Walvis Bay,21,Namibia,4,Southern Africa,1,1,Africa,142191.0
92,Windhoek,21,Namibia,4,Southern Africa,1,1,Africa,142192.0
93,Alberton,22,South Africa,4,Southern Africa,1,1,Africa,142293.0
94,Ballito,22,South Africa,4,Southern Africa,1,1,Africa,142294.0
95,Barrydale,22,South Africa,4,Southern Africa,1,1,Africa,142295.0
96,Bedfordview,22,South Africa,4,Southern Africa,1,1,Africa,142296.0
97,Benoni,22,South Africa,4,Southern Africa,1,1,Africa,142297.0
98,Bergville,22,South Africa,4,Southern Africa,1,1,Africa,142298.0
99,Bloemfontein,22,South Africa,4,Southern Africa,1,1,Africa,142299.0
100,Bloubergstrand,22,South Africa,4,Southern Africa,1,1,Africa,1422100.0
101,Bluff,22,South Africa,4,Southern Africa,1,1,Africa,1422101.0
102,Boksburg,22,South Africa,4,Southern Africa,1,1,Africa,1422102.0
103,Brackenfell,22,South Africa,4,Southern Africa,1,1,Africa,1422103.0
104,Camperdown,22,South Africa,4,Southern Africa,1,1,Africa,1422104.0
105,Cape Point,22,South Africa,4,Southern Africa,1,1,Africa,1422105.0
106,Cape Town,22,South Africa,4,Southern Africa,1,1,Africa,1422106.0
107,Cape Town Central,22,South Africa,4,Southern Africa,1,1,Africa,1422107.0
108,Cape Town S. Africa,22,South Africa,4,Southern Africa,1,1,Africa,1422108.0
109,Cape Winelands District Municipality,22,South Africa,4,Southern Africa,1,1,Africa,1422109.0
110,Centurion,22,South Africa,4,Southern Africa,1,1,Africa,1422110.0
111,Clarens,22,South Africa,4,Southern Africa,1,1,Africa,1422111.0
112,Constantia,22,South Africa,4,Southern Africa,1,1,Africa,1422112.0
113,CPT-South Africa,22,South Africa,4,Southern Africa,1,1,Africa,1422113.0
114,Durban,22,South Africa,4,Southern Africa,1,1,Africa,1422114.0
115,Durban South africa,22,South Africa,4,Southern Africa,1,1,Africa,1422115.0
116,Durbanville,22,South Africa,4,Southern Africa,1,1,Africa,1422116.0
117,East London,22,South Africa,4,Southern Africa,1,1,Africa,1422117.0
118,East London South Africa,22,South Africa,4,Southern Africa,1,1,Africa,1422118.0
119,Edenvale,22,South Africa,4,Southern Africa,1,1,Africa,1422119.0
120,Edgemead,22,South Africa,4,Southern Africa,1,1,Africa,1422120.0
121,Garden Route,22,South Africa,4,Southern Africa,1,1,Africa,1422121.0
122,Gauteng,22,South Africa,4,Southern Africa,1,1,Africa,1422122.0
123,George,22,South Africa,4,Southern Africa,1,1,Africa,1422123.0
124,Germiston,22,South Africa,4,Southern Africa,1,1,Africa,1422124.0
125,Gillitts,22,South Africa,4,Southern Africa,1,1,Africa,1422125.0
126,Goodwood,22,South Africa,4,Southern Africa,1,1,Africa,1422126.0
127,Grahamstown,22,South Africa,4,Southern Africa,1,1,Africa,1422127.0
128,Greater Johannesburg,22,South Africa,4,Southern Africa,1,1,Africa,1422128.0
129,Hartenbos,22,South Africa,4,Southern Africa,1,1,Africa,1422129.0
130,Hazyview,22,South Africa,4,Southern Africa,1,1,Africa,1422130.0
131,Hermanus,22,South Africa,4,Southern Africa,1,1,Africa,1422131.0
132,Hoedspruit,22,South Africa,4,Southern Africa,1,1,Africa,1422132.0
133,Hout Bay,22,South Africa,4,Southern Africa,1,1,Africa,1422133.0
134,Illovo,22,South Africa,4,Southern Africa,1,1,Africa,1422134.0
135,Jeffreys Bay,22,South Africa,4,Southern Africa,1,1,Africa,1422135.0
136,Johannesburg,22,South Africa,4,Southern Africa,1,1,Africa,1422136.0
137,Johannesburg South,22,South Africa,4,Southern Africa,1,1,Africa,1422137.0
138,Johannesburg South Africa,22,South Africa,4,Southern Africa,1,1,Africa,1422138.0
139,Kempton Park,22,South Africa,4,Southern Africa,1,1,Africa,1422139.0
140,Kemptonpark,22,South Africa,4,Southern Africa,1,1,Africa,1422140.0
141,Kenilworth,22,South Africa,4,Southern Africa,1,1,Africa,1422141.0
142,Kimberley,22,South Africa,4,Southern Africa,1,1,Africa,1422142.0
143,Kirkwood,22,South Africa,4,Southern Africa,1,1,Africa,1422143.0
144,Klerksdorp,22,South Africa,4,Southern Africa,1,1,Africa,1422144.0
145,Kloof,22,South Africa,4,Southern Africa,1,1,Africa,1422145.0
146,Knysna,22,South Africa,4,Southern Africa,1,1,Africa,1422146.0
147,Krugersdorp,22,South Africa,4,Southern Africa,1,1,Africa,1422147.0
148,Kuils River,22,South Africa,4,Southern Africa,1,1,Africa,1422148.0
149,KwaZulu-Natal,22,South Africa,4,Southern Africa,1,1,Africa,1422149.0
150,Langebaan,22,South Africa,4,Southern Africa,1,1,Africa,1422150.0
151,Lenasia,22,South Africa,4,Southern Africa,1,1,Africa,1422151.0
152,Llandudno,22,South Africa,4,Southern Africa,1,1,Africa,1422152.0
153,Maseru,22,South Africa,4,Southern Africa,1,1,Africa,1422153.0
154,Meyerton,22,South Africa,4,Southern Africa,1,1,Africa,1422154.0
155,Midrand,22,South Africa,4,Southern Africa,1,1,Africa,1422155.0
156,Mokopane,22,South Africa,4,Southern Africa,1,1,Africa,1422156.0
157,Mossel Bay,22,South Africa,4,Southern Africa,1,1,Africa,1422157.0
158,Mtunzini,22,South Africa,4,Southern Africa,1,1,Africa,1422158.0
159,Muizenberg,22,South Africa,4,Southern Africa,1,1,Africa,1422159.0
160,Nelspruit,22,South Africa,4,Southern Africa,1,1,Africa,1422160.0
161,Newcastle,22,South Africa,4,Southern Africa,1,1,Africa,1422161.0
162,Newlands,22,South Africa,4,Southern Africa,1,1,Africa,1422162.0
163,Noordhoek,22,South Africa,4,Southern Africa,1,1,Africa,1422163.0
164,North Riding,22,South Africa,4,Southern Africa,1,1,Africa,1422164.0
165,North-West Province,22,South Africa,4,Southern Africa,1,1,Africa,1422165.0
166,Oudtshoorn,22,South Africa,4,Southern Africa,1,1,Africa,1422166.0
167,Paarl,22,South Africa,4,Southern Africa,1,1,Africa,1422167.0
168,Parow,22,South Africa,4,Southern Africa,1,1,Africa,1422168.0
169,Pietermaritzburg,22,South Africa,4,Southern Africa,1,1,Africa,1422169.0
170,Plattekloof,22,South Africa,4,Southern Africa,1,1,Africa,1422170.0
171,Plettenberg Bay,22,South Africa,4,Southern Africa,1,1,Africa,1422171.0
172,Polokwane,22,South Africa,4,Southern Africa,1,1,Africa,1422172.0
173,Port Edward,22,South Africa,4,Southern Africa,1,1,Africa,1422173.0
174,Port Elizabeth,22,South Africa,4,Southern Africa,1,1,Africa,1422174.0
175,Pretoria,22,South Africa,4,Southern Africa,1,1,Africa,1422175.0
176,Pretoria South Africa,22,South Africa,4,Southern Africa,1,1,Africa,1422176.0
177,Pringle Bay,22,South Africa,4,Southern Africa,1,1,Africa,1422177.0
178,Queenstown,22,South Africa,4,Southern Africa,1,1,Africa,1422178.0
179,Randburg,22,South Africa,4,Southern Africa,1,1,Africa,1422179.0
180,Randpark Ridge,22,South Africa,4,Southern Africa,1,1,Africa,1422180.0
181,Richards Bay,22,South Africa,4,Southern Africa,1,1,Africa,1422181.0
182,Riebeek-West,22,South Africa,4,Southern Africa,1,1,Africa,1422182.0
183,Rondebosch,22,South Africa,4,Southern Africa,1,1,Africa,1422183.0
184,Roodepoort,22,South Africa,4,Southern Africa,1,1,Africa,1422184.0
185,rosebank,22,South Africa,4,Southern Africa,1,1,Africa,1422185.0
186,Rumbek,22,South Africa,4,Southern Africa,1,1,Africa,1422186.0
187,Salt Rock,22,South Africa,4,Southern Africa,1,1,Africa,1422187.0
188,Sandton,22,South Africa,4,Southern Africa,1,1,Africa,1422188.0
189,Sedgefield,22,South Africa,4,Southern Africa,1,1,Africa,1422189.0
190,Somerset West,22,South Africa,4,Southern Africa,1,1,Africa,1422190.0
191,South Africa,22,South Africa,4,Southern Africa,1,1,Africa,1422191.0
192,Springs,22,South Africa,4,Southern Africa,1,1,Africa,1422192.0
193,Standerton,22,South Africa,4,Southern Africa,1,1,Africa,1422193.0
194,Stanger,22,South Africa,4,Southern Africa,1,1,Africa,1422194.0
195,Stellenbosch,22,South Africa,4,Southern Africa,1,1,Africa,1422195.0
196,Stilbaai,22,South Africa,4,Southern Africa,1,1,Africa,1422196.0
197,Strand,22,South Africa,4,Southern Africa,1,1,Africa,1422197.0
198,Sun Valley,22,South Africa,4,Southern Africa,1,1,Africa,1422198.0
