UserId,ContenentId_x,RegionId_x,CountryId_x,CityId_x,FullId,CityId_y,CityName,CountryId_y,Country,RegionId_y,Region,ContentId,ContenentId_y,Contenent
16,3,14,101,3098.0,3141013098.0,3098,Jakarta,101,Indonesia,14,South East Asia,3,3,Asia
20,4,15,109,4303.0,4151094303.0,4303,Gold Coast,109,Australia,15,Australia,4,4,Australia & Oceania
23,1,4,22,154.0,1422154.0,154,Meyerton,22,South Africa,4,Southern Africa,1,1,Africa
25,3,14,101,3098.0,3141013098.0,3098,Jakarta,101,Indonesia,14,South East Asia,3,3,Asia
27,5,17,130,6107.0,5171306107.0,6107,Poznan,130,Poland,17,Central Europe,5,5,Europe
28,2,9,54,2193.0,29542193.0,2193,Olinda,54,Brazil,9,South America,2,2,America
29,3,14,101,3013.0,3141013013.0,3013,Bali,101,Indonesia,14,South East Asia,3,3,Asia
32,3,14,101,3013.0,3141013013.0,3013,Bali,101,Indonesia,14,South East Asia,3,3,Asia
33,5,21,162,7639.0,5211627639.0,7639,Amstelveen,162,Netherlands,21,Western Europe,5,5,Europe
34,1,4,22,167.0,1422167.0,167,Paarl,22,South Africa,4,Southern Africa,1,1,Africa
39,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
42,3,14,106,3551.0,3141063551.0,3551,Singapore,106,Singapore,14,South East Asia,3,3,Asia
48,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
51,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
54,5,21,163,8687.0,5211638687.0,8687,Nottingham,163,United Kingdom,21,Western Europe,5,5,Europe
56,2,8,48,302.0,2848302.0,302,Abbotsford,48,Canada,8,Northern America,2,2,America
57,5,21,163,9111.0,5211639111.0,9111,Wolverhampton,163,United Kingdom,21,Western Europe,5,5,Europe
60,1,3,14,52.0,131452.0,52,Cairo,14,Egypt,3,North Africa,1,1,Africa
65,2,8,51,800.0,2851800.0,800,California Desert,51,United States,8,Northern America,2,2,America
67,2,9,54,2208.0,29542208.0,2208,Sao Leopoldo,54,Brazil,9,South America,2,2,America
70,5,21,163,8652.0,5211638652.0,8652,Newcastle upon Tyne,163,United Kingdom,21,Western Europe,5,5,Europe
72,4,15,109,4070.0,4151094070.0,4070,Coffs Harbour,109,Australia,15,Australia,4,4,Australia & Oceania
79,3,14,103,3354.0,3141033354.0,3354,Kuala Lumpur,103,Malaysia,14,South East Asia,3,3,Asia
83,2,8,48,573.0,2848573.0,573,Whistler,48,Canada,8,Northern America,2,2,America
85,4,16,115,5666.0,4161155666.0,5666,Wairarapa,115,New Zealand,16,Oceania,4,4,Australia & Oceania
90,3,12,85,2558.0,312852558.0,2558,Hebron,85,Palestine,12,Middle East,3,3,Asia
94,4,15,109,3755.0,4151093755.0,3755,Australind,109,Australia,15,Australia,4,4,Australia & Oceania
97,2,8,51,859.0,2851859.0,859,Chicago,51,United States,8,Northern America,2,2,America
98,3,14,106,3551.0,3141063551.0,3551,Singapore,106,Singapore,14,South East Asia,3,3,Asia
102,4,15,109,3915.0,4151093915.0,3915,Brisbane,109,Australia,15,Australia,4,4,Australia & Oceania
103,1,4,22,106.0,1422106.0,106,Cape Town,22,South Africa,4,Southern Africa,1,1,Africa
112,3,13,93,2819.0,313932819.0,2819,Mumbai,93,India,13,South Asia,3,3,Asia
113,5,17,125,6000.0,5171256000.0,6000,Sonthofen,125,Germany,17,Central Europe,5,5,Europe
116,3,14,101,3098.0,3141013098.0,3098,Jakarta,101,Indonesia,14,South East Asia,3,3,Asia
117,5,19,142,6512.0,5191426512.0,6512,Helsinki,142,Finland,19,Northern Europe,5,5,Europe
118,4,15,109,3915.0,4151093915.0,3915,Brisbane,109,Australia,15,Australia,4,4,Australia & Oceania
119,3,11,69,2282.0,311692282.0,2282,Hong Kong,69,China,11,East Asia,3,3,Asia
125,4,15,109,4303.0,4151094303.0,4303,Gold Coast,109,Australia,15,Australia,4,4,Australia & Oceania
129,2,8,51,950.0,2851950.0,950,Denver,51,United States,8,Northern America,2,2,America
131,4,15,109,3881.0,4151093881.0,3881,Bonbeach,109,Australia,15,Australia,4,4,Australia & Oceania
133,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
137,3,14,101,3098.0,3141013098.0,3098,Jakarta,101,Indonesia,14,South East Asia,3,3,Asia
139,3,14,101,3208.0,3141013208.0,3208,Pontianak,101,Indonesia,14,South East Asia,3,3,Asia
142,4,15,109,4616.0,4151094616.0,4616,Mandurah,109,Australia,15,Australia,4,4,Australia & Oceania
149,4,15,109,4616.0,4151094616.0,4616,Mandurah,109,Australia,15,Australia,4,4,Australia & Oceania
152,4,15,109,3945.0,4151093945.0,3945,Bunbury,109,Australia,15,Australia,4,4,Australia & Oceania
154,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
155,3,11,74,2468.0,311742468.0,2468,Taipei,74,Taiwan,11,East Asia,3,3,Asia
156,2,8,48,465.0,2848465.0,465,Orangeville,48,Canada,8,Northern America,2,2,America
157,3,14,101,3098.0,3141013098.0,3098,Jakarta,101,Indonesia,14,South East Asia,3,3,Asia
160,2,8,51,1935.0,28511935.0,1935,Steamboat Springs,51,United States,8,Northern America,2,2,America
162,4,15,109,3750.0,4151093750.0,3750,Australia,109,Australia,15,Australia,4,4,Australia & Oceania
166,4,15,109,3945.0,4151093945.0,3945,Bunbury,109,Australia,15,Australia,4,4,Australia & Oceania
170,2,8,48,515.0,2848515.0,515,Sherbrooke,48,Canada,8,Northern America,2,2,America
177,4,16,115,5639.0,4161155639.0,5639,Tauranga,115,New Zealand,16,Oceania,4,4,Australia & Oceania
180,5,21,163,9009.0,5211639009.0,9009,United Kingdom,163,United Kingdom,21,Western Europe,5,5,Europe
182,2,8,51,1195.0,28511195.0,1195,Honolulu,51,United States,8,Northern America,2,2,America
183,5,21,160,7618.0,5211607618.0,7618,Sligo,160,Ireland,21,Western Europe,5,5,Europe
